Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-22,3.4,12,30284,556,1307,82,6.3,0.67,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2307|2549|2624|2683|2828|3162|3280|3339|3516|3764|3791|4066|4091|4092|4208|4435|4669|4846|4851|4853|4855|5138|5155|5156|5532|6659|6926|7010|7048|7075|7101|7137|7476|8322|8325|8503|8751|9255|9394|10413|10672|11277|22846|22899|23129|25865|25976|28514|51176|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79652|79812|91010|93974|113026|146850|219699|221395|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|FOXS1|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KCNJ8|KDR|LYL1|SMAD6|SMAD7|MEF2C|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDE2A|PDGFB|PDGFRA|PPP3CB|SOX4|TBX3|TEK|TGFBR2|TIE1|NR2E1|TNNI3|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|YAP1|GNA13|TREX1|VASH1|ARHGEF15|PLXND1|PRKD2|TIPARP|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|TMEM204|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|NRARP,-17,Var1
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-21,3.7,12,30284,441,1307,71,5.4,0.63,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2549|2624|2683|2828|3162|3280|3339|3516|3791|4092|4435|4669|4846|4851|4853|4855|5155|5156|6659|7010|7048|7075|7101|7137|7476|8322|8325|8503|8751|9255|9394|10413|10672|22846|23129|25865|25976|28514|51176|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79812|91010|93974|113026|146850|219699|221395|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KDR|SMAD7|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDGFB|PDGFRA|SOX4|TEK|TGFBR2|TIE1|NR2E1|TNNI3|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|YAP1|GNA13|VASH1|PLXND1|PRKD2|TIPARP|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|NRARP,-17,Var1
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-21,3.4,12,30284,534,1307,79,6,0.66,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2307|2549|2624|2683|2828|3162|3280|3339|3516|3764|3791|4066|4091|4092|4208|4435|4669|4846|4851|4853|4855|5138|5155|5156|6659|6926|7010|7048|7075|7101|7137|7476|8322|8325|8503|8751|9255|9394|10413|10672|11277|22846|23129|25865|25976|28514|51176|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79812|91010|93974|113026|146850|219699|221395|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|FOXS1|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KCNJ8|KDR|LYL1|SMAD6|SMAD7|MEF2C|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDE2A|PDGFB|PDGFRA|SOX4|TBX3|TEK|TGFBR2|TIE1|NR2E1|TNNI3|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|YAP1|GNA13|TREX1|VASH1|PLXND1|PRKD2|TIPARP|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|NRARP,-17,Var1
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-20,3,11,30284,694,1307,90,6.9,0.7,94|285|655|947|1317|1435|1436|1464|1497|1890|1893|1906|1956|1969|2018|2050|2246|2260|2263|2549|2624|2683|2828|3162|3280|3339|3516|3791|3911|4088|4092|4208|4435|4669|4846|4851|4853|4855|5155|5156|5371|6422|6659|6926|7010|7048|7075|7101|7137|7289|7476|8322|8325|8503|8543|8751|9255|9394|9423|10413|10522|10653|10672|22846|23129|25865|25976|28514|51176|51339|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79812|91010|93974|113026|146850|219699|221395|388389|441478,ACVRL1|ANGPT2|BMP7|CD34|SLC31A1|CSF1|CSF1R|CSPG4|CTNS|TYMP|ECM1|EDN1|EGFR|EPHA2|EMX2|EPHB4|FGF1|FGFR1|FGFR2|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KDR|LAMA5|SMAD3|SMAD7|MEF2C|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDGFB|PDGFRA|PML|SFRP1|SOX4|TBX3|TEK|TGFBR2|TIE1|NR2E1|TNNI3|TULP3|WNT7A|FZD4|FZD8|PIK3R3|LMO4|ADAM15|AIMP1|HS6ST1|NTN1|YAP1|DEAF1|SPINT2|GNA13|VASH1|PLXND1|PRKD2|TIPARP|DLL1|LEF1|DACT1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|DNAAF19|NRARP,-16,Var1
GO Biological Processes,19,GO:0031175,neuron projection development,19_GO:0032502 developmental process,-20,2.9,11,30284,717,1307,91,7,0.7,107|135|322|605|655|658|1020|1436|1742|1906|1944|1945|1949|1956|2064|2260|2263|2596|3276|3280|3897|3925|4131|4135|4137|4692|4753|4756|4761|4851|4853|5127|5354|5364|5532|5662|5864|5881|5925|6446|7101|7345|7476|7846|8543|8578|8826|8936|8941|9334|9423|9637|9638|10084|10298|10381|10458|10678|11075|22911|23022|23111|23154|25861|26047|27319|28988|51324|51412|51466|51560|54437|54538|56896|56920|57142|57662|57698|57715|81551|81565|84446|90249|114787|115557|118813|146760|201191|219699|374946|374969,ADCY1|ADORA2A|APBB1|BCL7A|BMP7|BMPR1B|CDK5|CSF1R|DLG4|EDN1|EFNA3|EFNA4|EFNB3|EGFR|ERBB2|FGFR1|FGFR2|GAP43|PRMT1|HES1|L1CAM|STMN1|MAP1B|MAP6|MAPT|NDN|NELL2|NEO1|NEUROD2|NOTCH1|NOTCH2|CDK16|PLP1|PLXNB1|PPP3CB|PSD|RAB3A|RAC3|RB1|SGK1|NR2E1|UCHL1|WNT7A|TUBA1A|LMO4|SCARF1|IQGAP1|WASF1|CDK5R2|B4GALT5|NTN1|FEZ2|FEZ1|PQBP1|PAK4|TUBB3|BAIAP2|B3GNT2|STMN2|WDR47|PALLD|SPART|NCDN|WHRN|CNTNAP2|BHLHE22|DBNL|SPG21|ACTL6B|EVL|RAB6B|SEMA5B|ROBO4|DPYSL5|SEMA3G|RTN4|CAMSAP3|SHTN1|SEMA4G|STMN4|NDEL1|BRSK1|UNC5A|GPRIN1|ARHGEF25|ZFYVE27|RTN4RL1|SAMD14|UNC5B|DRAXIN|SVBP,-16,Var1
GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-20,4,12,30284,347,1307,60,4.6,0.58,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2549|2624|2683|2828|3162|3339|3516|3791|4846|4851|4853|4855|5155|5156|7010|7048|7075|7101|7476|8322|8325|8503|8751|9255|9394|10672|22846|23129|25865|28514|51176|54345|54538|54567|54922|57007|57142|57381|64321|79602|79812|91010|93974|113026|146850|219699|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HSPG2|RBPJ|KDR|NOS3|NOTCH1|NOTCH2|NOTCH4|PDGFB|PDGFRA|TEK|TGFBR2|TIE1|NR2E1|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|GNA13|VASH1|PLXND1|PRKD2|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ACKR3|RTN4|RHOJ|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|NRARP,-16,Var1
GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-18,2.9,11,30284,706,1307,88,6.7,0.69,107|135|322|604|605|655|658|1004|1020|1436|1742|1906|1944|1945|1949|1956|1969|2064|2263|2355|2596|3280|3897|3925|4131|4135|4208|4650|4692|4753|4756|4774|4851|4853|4855|5364|5532|5864|5881|5925|6446|6688|6760|6781|7101|7345|7476|7846|8543|8826|8936|8941|9334|9423|9637|9638|10381|10413|10458|10653|10678|22911|23022|23111|25861|26047|26084|28988|51092|51176|51225|51324|51466|54437|54538|56896|56920|57493|57698|57715|64321|81565|84446|90249|115557|128637|219699|374946,ADCY1|ADORA2A|APBB1|BCL6|BCL7A|BMP7|BMPR1B|CDH6|CDK5|CSF1R|DLG4|EDN1|EFNA3|EFNA4|EFNB3|EGFR|EPHA2|ERBB2|FGFR2|FOSL2|GAP43|HES1|L1CAM|STMN1|MAP1B|MAP6|MEF2C|MYO9B|NDN|NELL2|NEO1|NFIA|NOTCH1|NOTCH2|NOTCH4|PLXNB1|PPP3CB|RAB3A|RAC3|RB1|SGK1|SPI1|SS18|STC1|NR2E1|UCHL1|WNT7A|TUBA1A|LMO4|IQGAP1|WASF1|CDK5R2|B4GALT5|NTN1|FEZ2|FEZ1|TUBB3|YAP1|BAIAP2|SPINT2|B3GNT2|WDR47|PALLD|SPART|WHRN|CNTNAP2|ARHGEF26|DBNL|SIDT2|LEF1|ABI3|SPG21|EVL|SEMA5B|ROBO4|DPYSL5|SEMA3G|HEG1|SHTN1|SEMA4G|SOX17|NDEL1|BRSK1|UNC5A|ARHGEF25|TBC1D20|UNC5B|DRAXIN,-15,Var1
GO Biological Processes,19,GO:0010975,regulation of neuron projection development,19_GO:0032502 developmental process,-18,3.4,11,30284,448,1307,66,5,0.61,322|655|816|818|1020|1400|1627|1716|1809|1949|1982|2056|2242|2260|2281|3280|3706|3897|4131|4135|4137|4756|4780|5364|5365|5526|5802|6422|7101|7476|7779|8321|8322|8507|8536|8578|9314|9423|9638|10084|10300|10458|11075|23028|23111|23129|23189|23413|25791|25793|51225|51517|56896|56920|56965|57142|57698|81565|84446|112755|115703|118813|124925|146760|347733|374946,APBB1|BMP7|CAMK2B|CAMK2G|CDK5|CRMP1|DBN1|DGUOK|DPYSL3|EFNB3|EIF4G2|EPO|FES|FGFR1|FKBP1B|HES1|ITPKA|L1CAM|MAP1B|MAP6|MAPT|NEO1|NFE2L2|PLXNB1|PLXNB3|PPP2R5B|PTPRS|SFRP1|NR2E1|WNT7A|SLC30A1|FZD1|FZD4|ENC1|CAMK1|SCARF1|KLF4|NTN1|FEZ1|PQBP1|KATNB1|BAIAP2|STMN2|KDM1A|SPART|PLXND1|KANK1|NCS1|NGEF|FBXO7|ABI3|NCKIPSD|DPYSL5|SEMA3G|PARP6|RTN4|SHTN1|NDEL1|BRSK1|STX1B|ARHGAP33|ZFYVE27|SEZ6|RTN4RL1|TUBB2B|DRAXIN,-14,Var1
GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-17,2.8,10,30284,667,1307,82,6.3,0.67,322|391|655|816|818|1020|1400|1627|1716|1742|1809|1949|1969|1982|2039|2056|2242|2260|2281|2596|3265|3280|3706|3897|3985|4131|4135|4137|4343|4739|4756|4780|5364|5365|5526|5802|6422|7016|7101|7476|7779|8321|8322|8507|8536|8578|9314|9423|9638|10084|10300|10413|10458|11075|23028|23111|23129|23189|23413|23433|25791|25793|51225|51466|51517|54874|55604|56896|56920|56965|57142|57698|81565|84446|112755|115703|118813|124925|128344|146760|347733|374946,APBB1|RHOG|BMP7|CAMK2B|CAMK2G|CDK5|CRMP1|DBN1|DGUOK|DLG4|DPYSL3|EFNB3|EPHA2|EIF4G2|DMTN|EPO|FES|FGFR1|FKBP1B|GAP43|HRAS|HES1|ITPKA|L1CAM|LIMK2|MAP1B|MAP6|MAPT|MOV10|NEDD9|NEO1|NFE2L2|PLXNB1|PLXNB3|PPP2R5B|PTPRS|SFRP1|TESK1|NR2E1|WNT7A|SLC30A1|FZD1|FZD4|ENC1|CAMK1|SCARF1|KLF4|NTN1|FEZ1|PQBP1|KATNB1|YAP1|BAIAP2|STMN2|KDM1A|SPART|PLXND1|KANK1|NCS1|RHOQ|NGEF|FBXO7|ABI3|EVL|NCKIPSD|FNBP1L|CARMIL1|DPYSL5|SEMA3G|PARP6|RTN4|SHTN1|NDEL1|BRSK1|STX1B|ARHGAP33|ZFYVE27|SEZ6|CIMAP3|RTN4RL1|TUBB2B|DRAXIN,-13,Var1
GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-17,2.9,10,30284,629,1307,79,6,0.66,91|94|285|655|658|1317|1435|1436|1464|1944|1945|1949|1956|1969|2050|2064|2246|2260|2263|2549|2788|3265|3280|3625|3693|3791|3925|3977|4088|4091|4092|4303|4435|4692|4739|4774|4853|5155|5156|5166|5371|5829|6422|6720|6760|6777|7010|7048|7075|7157|7297|8503|8826|8895|9261|9961|10458|10461|23111|23433|23516|25791|25805|25865|25937|25976|27250|28964|30001|51176|51324|55198|55512|55715|55816|55914|60436|81565|118813,ACVR1B|ACVRL1|ANGPT2|BMP7|BMPR1B|SLC31A1|CSF1|CSF1R|CSPG4|EFNA3|EFNA4|EFNB3|EGFR|EPHA2|EPHB4|ERBB2|FGF1|FGFR1|FGFR2|GAB1|GNG7|HRAS|HES1|INHBB|ITGB5|KDR|STMN1|LIFR|SMAD3|SMAD6|SMAD7|FOXO4|CITED1|NDN|NEDD9|NFIA|NOTCH2|PDGFB|PDGFRA|PDK4|PML|PXN|SFRP1|SREBF1|SS18|STAT5B|TEK|TGFBR2|TIE1|TP53|TYK2|PIK3R3|IQGAP1|CPNE3|MAPKAPK2|MVP|BAIAP2|MERTK|SPART|RHOQ|SLC39A14|NGEF|BAMBI|PRKD2|WWTR1|TIPARP|PDCD4|GIT1|ERO1A|LEF1|SPG21|APPL2|SMPD3|DOK4|DOK5|ERBIN|TGIF2|NDEL1|ZFYVE27,-13,Var1
