_MEMBER_Var1,_LogP_Var1,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-21.787149556998052,GO:0001944,M1,1,0,GO Biological Processes,19,vasculature development,19_GO:0032502 developmental process,-21.787149556998052,3.4172496738645806,12.217619389708954,30284,556,1307,82,6.2739097169089515,0.6707514021035281,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2307|2549|2624|2683|2828|3162|3280|3339|3516|3764|3791|4066|4091|4092|4208|4435|4669|4846|4851|4853|4855|5138|5155|5156|5532|6659|6926|7010|7048|7075|7101|7137|7476|8322|8325|8503|8751|9255|9394|10413|10672|11277|22846|22899|23129|25865|25976|28514|51176|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79652|79812|91010|93974|113026|146850|219699|221395|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|FOXS1|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KCNJ8|KDR|LYL1|SMAD6|SMAD7|MEF2C|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDE2A|PDGFB|PDGFRA|PPP3CB|SOX4|TBX3|TEK|TGFBR2|TIE1|NR2E1|TNNI3|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|YAP1|GNA13|TREX1|VASH1|ARHGEF15|PLXND1|PRKD2|TIPARP|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|TMEM204|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|NRARP,-17.44791680869909,0,1,1,1,-21.787149556998052,6.516736801836266,
1,-21.1253109997092,GO:0048514,M1,1,0,GO Biological Processes,19,blood vessel morphogenesis,19_GO:0032502 developmental process,-21.1253109997092,3.7304172370299815,12.266978494727669,30284,441,1307,71,5.432287681713849,0.6269386268708054,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2549|2624|2683|2828|3162|3280|3339|3516|3791|4092|4435|4669|4846|4851|4853|4855|5155|5156|6659|7010|7048|7075|7101|7137|7476|8322|8325|8503|8751|9255|9394|10413|10672|22846|23129|25865|25976|28514|51176|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79812|91010|93974|113026|146850|219699|221395|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KDR|SMAD7|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDGFB|PDGFRA|SOX4|TEK|TGFBR2|TIE1|NR2E1|TNNI3|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|YAP1|GNA13|VASH1|PLXND1|PRKD2|TIPARP|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|NRARP,-17.226807848636824,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-21.088919342216123,GO:0001568,M1,1,0,GO Biological Processes,19,blood vessel development,19_GO:0032502 developmental process,-21.088919342216123,3.4278632199421724,12.021589418324087,30284,534,1307,79,6.044376434583015,0.6591729051465838,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2307|2549|2624|2683|2828|3162|3280|3339|3516|3764|3791|4066|4091|4092|4208|4435|4669|4846|4851|4853|4855|5138|5155|5156|6659|6926|7010|7048|7075|7101|7137|7476|8322|8325|8503|8751|9255|9394|10413|10672|11277|22846|23129|25865|25976|28514|51176|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79812|91010|93974|113026|146850|219699|221395|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|FOXS1|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KCNJ8|KDR|LYL1|SMAD6|SMAD7|MEF2C|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDE2A|PDGFB|PDGFRA|SOX4|TBX3|TEK|TGFBR2|TIE1|NR2E1|TNNI3|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|YAP1|GNA13|TREX1|VASH1|PLXND1|PRKD2|TIPARP|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|NRARP,-17.226807848636824,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-19.97900687818269,GO:0035239,M1,1,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-19.97900687818269,3.00483541295044,11.347403792351317,30284,694,1307,90,6.885998469778118,0.7004113296087111,94|285|655|947|1317|1435|1436|1464|1497|1890|1893|1906|1956|1969|2018|2050|2246|2260|2263|2549|2624|2683|2828|3162|3280|3339|3516|3791|3911|4088|4092|4208|4435|4669|4846|4851|4853|4855|5155|5156|5371|6422|6659|6926|7010|7048|7075|7101|7137|7289|7476|8322|8325|8503|8543|8751|9255|9394|9423|10413|10522|10653|10672|22846|23129|25865|25976|28514|51176|51339|54345|54538|54567|54922|56999|57007|57142|57381|57493|64321|79602|79812|91010|93974|113026|146850|219699|221395|388389|441478,ACVRL1|ANGPT2|BMP7|CD34|SLC31A1|CSF1|CSF1R|CSPG4|CTNS|TYMP|ECM1|EDN1|EGFR|EPHA2|EMX2|EPHB4|FGF1|FGFR1|FGFR2|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HES1|HSPG2|RBPJ|KDR|LAMA5|SMAD3|SMAD7|MEF2C|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PDGFB|PDGFRA|PML|SFRP1|SOX4|TBX3|TEK|TGFBR2|TIE1|NR2E1|TNNI3|TULP3|WNT7A|FZD4|FZD8|PIK3R3|LMO4|ADAM15|AIMP1|HS6ST1|NTN1|YAP1|DEAF1|SPINT2|GNA13|VASH1|PLXND1|PRKD2|TIPARP|DLL1|LEF1|DACT1|SOX18|ROBO4|DLL4|RASIP1|ADAMTS9|ACKR3|RTN4|RHOJ|HEG1|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|ADGRF5|DNAAF19|NRARP,-16.241834121211692,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-19.500989576692508,GO:0001525,M1,1,0,GO Biological Processes,19,angiogenesis,19_GO:0032502 developmental process,-19.500989576692508,4.006447217267254,11.962576110626946,30284,347,1307,60,4.590665646518746,0.5788892310550284,94|285|947|1317|1464|1890|1893|1906|1969|2050|2246|2260|2263|2549|2624|2683|2828|3162|3339|3516|3791|4846|4851|4853|4855|5155|5156|7010|7048|7075|7101|7476|8322|8325|8503|8751|9255|9394|10672|22846|23129|25865|28514|51176|54345|54538|54567|54922|57007|57142|57381|64321|79602|79812|91010|93974|113026|146850|219699|441478,ACVRL1|ANGPT2|CD34|SLC31A1|CSPG4|TYMP|ECM1|EDN1|EPHA2|EPHB4|FGF1|FGFR1|FGFR2|GAB1|GATA2|B4GALT1|GPR4|HMOX1|HSPG2|RBPJ|KDR|NOS3|NOTCH1|NOTCH2|NOTCH4|PDGFB|PDGFRA|TEK|TGFBR2|TIE1|NR2E1|WNT7A|FZD4|FZD8|PIK3R3|ADAM15|AIMP1|HS6ST1|GNA13|VASH1|PLXND1|PRKD2|DLL1|LEF1|SOX18|ROBO4|DLL4|RASIP1|ACKR3|RTN4|RHOJ|SOX17|ADIPOR2|MMRN2|FMNL3|ATP5IF1|PLCD3|PIK3R6|UNC5B|NRARP,-15.93990807877719,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-11.936933673622743,GO:0001701,M1,1,0,GO Biological Processes,19,in utero embryonic development,19_GO:0032502 developmental process,-11.936933673622743,3.0349426359517344,8.66795792295833,30284,397,1307,52,3.978576893649579,0.5406424635083119,91|94|320|321|655|1050|1051|1376|1627|1906|1956|2260|2263|2624|3276|3280|3516|4088|4242|4435|4846|4851|4853|5155|5156|5745|6598|6926|7048|7075|7157|7779|7942|8531|9394|10413|10653|10672|22846|51176|51294|54345|57142|57493|57662|64321|80790|81565|92521|113026|123920|345630,ACVR1B|ACVRL1|APBA1|APBA2|BMP7|CEBPA|CEBPB|CPT2|DBN1|EDN1|EGFR|FGFR1|FGFR2|GATA2|PRMT1|HES1|RBPJ|SMAD3|MFNG|CITED1|NOS3|NOTCH1|NOTCH2|PDGFB|PDGFRA|PTH1R|SMARCB1|TBX3|TGFBR2|TIE1|TP53|SLC30A1|TFEB|YBX3|HS6ST1|YAP1|SPINT2|GNA13|VASH1|LEF1|PCDH12|SOX18|RTN4|HEG1|CAMSAP3|SOX17|CMIP|NDEL1|SPECC1|PLCD3|CMTM3|FBLL1,-9.221319943308082,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-9.817544813814772,GO:0048729,M1,1,0,GO Biological Processes,19,tissue morphogenesis,19_GO:0032502 developmental process,-9.817544813814772,2.4411188326970623,7.435922055863898,30284,579,1307,61,4.667176740627391,0.5834592874556019,94|655|1435|1436|1497|1906|1956|1969|2246|2260|2263|2295|2535|3280|3516|3691|3693|3791|3911|4088|4092|4208|4435|4669|4846|4851|4853|4855|5371|6422|6781|6926|7048|7075|7137|7289|7476|8321|8543|9314|9423|10413|10522|10653|10672|23129|25865|28514|51176|54345|54567|54922|57493|57662|64321|84446|85366|94234|286204|388389|441478,ACVRL1|BMP7|CSF1|CSF1R|CTNS|EDN1|EGFR|EPHA2|FGF1|FGFR1|FGFR2|FOXF2|FZD2|HES1|RBPJ|ITGB4|ITGB5|KDR|LAMA5|SMAD3|SMAD7|MEF2C|CITED1|NAGLU|NOS3|NOTCH1|NOTCH2|NOTCH4|PML|SFRP1|STC1|TBX3|TGFBR2|TIE1|TNNI3|TULP3|WNT7A|FZD1|LMO4|KLF4|NTN1|YAP1|DEAF1|SPINT2|GNA13|PLXND1|PRKD2|DLL1|LEF1|SOX18|DLL4|RASIP1|HEG1|CAMSAP3|SOX17|BRSK1|MYLK2|FOXQ1|CRB2|DNAAF19|NRARP,-7.432554574955136,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-9.426536105611342,GO:0060562,M1,1,0,GO Biological Processes,19,epithelial tube morphogenesis,19_GO:0032502 developmental process,-9.426536105611342,3.0063145865011185,7.614199008779627,30284,316,1307,41,3.1369548584544757,0.4821646866485083,94|655|1435|1436|1497|1906|1969|2246|2263|3280|3516|3791|3911|4088|4208|4435|4851|4853|4855|5371|6422|6926|7048|7075|7289|8543|9423|10413|10522|10653|10672|23129|25865|28514|51176|54345|54567|54922|64321|388389|441478,ACVRL1|BMP7|CSF1|CSF1R|CTNS|EDN1|EPHA2|FGF1|FGFR2|HES1|RBPJ|KDR|LAMA5|SMAD3|MEF2C|CITED1|NOTCH1|NOTCH2|NOTCH4|PML|SFRP1|TBX3|TGFBR2|TIE1|TULP3|LMO4|NTN1|YAP1|DEAF1|SPINT2|GNA13|PLXND1|PRKD2|DLL1|LEF1|SOX18|DLL4|RASIP1|SOX17|DNAAF19|NRARP,-7.076912832644707,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-9.005357322773158,GO:0002009,M1,1,0,GO Biological Processes,19,morphogenesis of an epithelium,19_GO:0032502 developmental process,-9.005357322773158,2.5577956855692126,7.165947683911459,30284,462,1307,51,3.9020657995409334,0.5356320140864121,94|655|1435|1436|1497|1906|1956|1969|2246|2260|2263|2295|3280|3516|3693|3791|3911|4088|4208|4435|4669|4851|4853|4855|5371|6422|6926|7048|7075|7289|7476|8543|9314|9423|10413|10522|10653|10672|23129|25865|28514|51176|54345|54567|54922|57662|64321|84446|94234|388389|441478,ACVRL1|BMP7|CSF1|CSF1R|CTNS|EDN1|EGFR|EPHA2|FGF1|FGFR1|FGFR2|FOXF2|HES1|RBPJ|ITGB5|KDR|LAMA5|SMAD3|MEF2C|CITED1|NAGLU|NOTCH1|NOTCH2|NOTCH4|PML|SFRP1|TBX3|TGFBR2|TIE1|TULP3|WNT7A|LMO4|KLF4|NTN1|YAP1|DEAF1|SPINT2|GNA13|PLXND1|PRKD2|DLL1|LEF1|SOX18|DLL4|RASIP1|CAMSAP3|SOX17|BRSK1|FOXQ1|DNAAF19|NRARP,-6.719203017957616,0,1,0,0,-21.787149556998052,6.516736801836266,
1,-8.672706684282408,GO:0009792,M1,1,0,GO Biological Processes,19,embryo development ending in birth or egg hatching,19_GO:0032502 developmental process,-8.672706684282408,2.2148386516044827,6.804690727418229,30284,680,1307,65,4.973221117061974,0.6013178484621234,91|94|320|321|655|1050|1051|1376|1627|1906|1956|1969|2013|2260|2263|2624|3276|3280|3516|4088|4242|4435|4846|4851|4853|5155|5156|5745|6422|6598|6926|7048|7075|7157|7289|7779|7942|8531|8543|9394|10413|10522|10524|10653|10672|22846|28514|51176|51294|51339|54345|55122|57142|57493|57662|64321|80790|81565|92521|113026|123920|221395|286204|345630|441478,ACVR1B|ACVRL1|APBA1|APBA2|BMP7|CEBPA|CEBPB|CPT2|DBN1|EDN1|EGFR|EPHA2|EMP2|FGFR1|FGFR2|GATA2|PRMT1|HES1|RBPJ|SMAD3|MFNG|CITED1|NOS3|NOTCH1|NOTCH2|PDGFB|PDGFRA|PTH1R|SFRP1|SMARCB1|TBX3|TGFBR2|TIE1|TP53|TULP3|SLC30A1|TFEB|YBX3|LMO4|HS6ST1|YAP1|DEAF1|KAT5|SPINT2|GNA13|VASH1|DLL1|LEF1|PCDH12|DACT1|SOX18|AKIRIN2|RTN4|HEG1|CAMSAP3|SOX17|CMIP|NDEL1|SPECC1|PLCD3|CMTM3|ADGRF5|CRB2|FBLL1|NRARP,-6.409020897375978,0,1,0,0,-21.787149556998052,6.516736801836266,
