Var1,Weighted
PML,-0.595714339733444
USF1,-0.585569860920165
ADPRHL2,-0.583089902953557
H2AFZP3,-0.579010693122326
ETFB,-0.575430212239816
DEGS2,-0.575260745556512
HMOX1,-0.574627577376624
RP11-449M6.1,-0.568679323555581
SESN2,-0.567858710570339
ING4,-0.567739625888229
PRMT1,-0.567612061735856
LAMTOR2,-0.564995974819369
KIAA2013,-0.562150127978405
SMAD6,-0.560273664498839
ADAMTSL2,-0.560060682017502
CCND3,-0.559397004287346
GPR116,-0.559320802923641
SIK1,-0.558669142951127
ABCG2,-0.557996390835825
EPO,-0.556013622530318
HERPUD2,-0.555539586951756
TNNI3,-0.555509584304865
ABCB1,-0.553919010552226
ELTD1,-0.552340402978902
LSR,-0.551942389726138
NOS3,-0.551574123077107
BAMBI,-0.551235828661835
RAB11FIP5,-0.551176368251168
RBM14-RBM4,-0.551096515047636
AKR1A1,-0.550695464311217
SH3BP4,-0.550094358863311
PARVB,-0.549825328594231
STIM1,-0.548409506093658
ADORA2A,-0.548400009653313
TP53,-0.547747646944075
RELL1,-0.547635430279876
SNX32,-0.5472975643436
DCTN3,-0.547230852412905
EIF6,-0.546403905998144
GOLGA7B,-0.546194105636337
RASSF2,-0.54503265472887
MRPS23,-0.544980276592201
EGLN3,-0.544501134267087
PSMD13,-0.543212895058848
NUP93,-0.543212840864582
SLCO2B1,-0.543187331350495
RP11-415I12.6,-0.542936029406951
IL13RA1,-0.542452998573806
SLCO4A1,-0.541954791874449
TIE1,-0.541565590881663
SUMO2P1,-0.541063929675724
C1orf187,-0.541050162707645
SETD3,-0.540214047063768
PDGFB,-0.540185745003424
GLTP,-0.540106079579802
RP11-333E13.2,-0.539239095072856
IDH3B,-0.538374976470612
ERO1L,-0.538357217898477
PLOD2,-0.537712208738192
KB-1896H10.1,-0.537456747852401
PPP1R14BP3,-0.537287143276972
C1orf64,-0.537117059528996
MAP4K2,-0.53708404232587
C3,-0.537080178421455
ROBO4,-0.536313078174503
PTH1R,-0.535394097855147
PRTFDC1,-0.535057246023405
CH25H,-0.534797511793719
GPS2,-0.534513154138595
KIAA1462,-0.534498280861388
FOXF2,-0.53366694195877
ETS1,-0.533435427355331
ETV5,-0.533396616548311
GNG4,-0.533034571350171
PQBP1,-0.5330217880936
RP1-68D18.4,-0.532905300770154
RP11-664I21.6,-0.532885253056356
CCNI2,-0.53279425443189
LEF1,-0.532069407483975
HN1,-0.531279252719414
ANGPT2,-0.531255490928345
MYCT1,-0.530927276415952
DBX2,-0.530836308931897
STRA13,-0.53052649932824
RASIP1,-0.52991734154595
SLC16A6,-0.529825077326077
NELL2,-0.528943495725503
PPP1R1B,-0.528819667334947
ATP10A,-0.528686978009529
ECM1,-0.528610075754258
LAP3,-0.528573642169055
CDCA7L,-0.528153854732557
ERP29,-0.528069183615626
APITD1-CORT,-0.527946943331312
HSPA12B,-0.527818041767541
AC073641.2,-0.5277085810508
SNORD104,-0.52725583715505
GLDC,-0.526967800405411
ESYT2,-0.526739518552195
SPRY4,-0.526716463187097
C17orf81,-0.526262824045242
PABPC3,-0.526258803867564
RP11-793E15.1,-0.526016394087771
AP006309.4,-0.525590822413221
PAFAH1B3,-0.525497446340515
TJP2,-0.525479847459155
RP11-611O2.5,-0.525328582208013
IL10RB,-0.525306897015127
RHPN2,-0.525246940950675
SLC38A5,-0.525223946035252
ZNF524,-0.525132350403938
NICN1-AS1,-0.524825760675875
AC004696.1,-0.524630129744996
CDH6,-0.524617157404619
ACVRL1,-0.524329212554673
RP11-552M11.4,-0.524147292925064
MMRN2,-0.524053753535696
IL4R,-0.523889965753409
ITGB2,-0.523831328011445
PSMD3,-0.523755479150077
TFRC,-0.523679962311901
AK3,-0.523584540512434
NMRAL1,-0.523466978136897
SIPA1,-0.523389796824375
APEX1,-0.523344230066339
MAP2K3,-0.523075403276439
CBFB,-0.522940828012365
NFE2L2,-0.522908253522087
PPP1R3G,-0.522803328789115
RP11-38P22.2,-0.522762808906198
KDR,-0.52265231153973
ITPRIP,-0.521969745532257
MMP24,-0.521913356228191
DCTN2,-0.521753807669744
RNASET2,-0.52173348519375
SERINC2,-0.521429257257823
TACC1,-0.521124656320471
FABP3,-0.521095767155742
